,createTime,specificEnergy (kWh/kWp),plantid,dayEnergy (kWh),irradiation (Wh/msq),kWp,plant_nr
288,2018-10-07,3.08,100127,32665.23,348.8885032,10605.594155844155,Plant1
289,2018-10-08,0.85,100127,8977.88,106.3142039,10562.211764705882,Plant1
290,2018-10-09,0.65,100127,6910.04,84.37328444,10630.830769230768,Plant1
291,2018-10-10,3.29,100127,34876.46,368.4780728,10600.747720364741,Plant1
292,2018-10-11,3.61,100127,38246.25,406.5930293,10594.529085872577,Plant1
293,2018-10-12,2.98,100127,31532.39,340.5496156,10581.338926174496,Plant1
294,2018-10-13,2.62,100127,27794.33,301.9838179,10608.522900763359,Plant1
295,2018-10-14,3.47,100127,36776.7,397.2777492,10598.472622478384,Plant1
296,2018-10-15,2.74,100127,29077.69,324.0159001,10612.295620437955,Plant1
297,2018-10-16,1.21,100127,12862.23,150.1577453,10629.94214876033,Plant1
298,2018-10-17,1.84,100127,19476.18,222.0909483,10584.880434782608,Plant1
299,2018-10-18,2.95,100127,31260.1,354.0201511,10596.64406779661,Plant1
300,2018-10-19,0.95,100127,10112.01,118.4117296,10644.22105263158,Plant1
301,2018-10-20,2.41,100127,25587.07,304.2762275,10617.041493775932,Plant1
302,2018-10-21,0.82,100127,8730.54,103.4620258,10647.000000000002,Plant1
303,2018-10-22,2.7,100127,28567.24,346.0768776,10580.45925925926,Plant1
304,2018-10-23,0.69,100127,7264.39,88.74525155,10528.101449275364,Plant1
305,2018-10-24,2.31,100127,24479.99,302.2599916,10597.398268398269,Plant1
306,2018-10-25,1.79,100127,18959.16,235.4898961,10591.709497206704,Plant1
307,2018-10-26,0.95,100127,10107.28,122.8796092,10639.24210526316,Plant1
308,2018-10-27,1.39,100127,14729.67,180.358866,10596.884892086331,Plant1
309,2018-10-28,1.4,100127,14815.8,200.0075449,10582.714285714286,Plant1
310,2018-10-29,0.47,100127,4928.61,61.24956982,10486.404255319148,Plant1
311,2018-10-30,0.11,100127,1138.67,18.92566879,10351.545454545456,Plant1
312,2018-10-31,1.69,100127,17949.31,229.0372734,10620.893491124261,Plant1
314,2018-11-01,1.28,100127,13574.48,172.8219278,10605.0625,Plant1
315,2018-11-02,0.46,100127,4845.82,61.22995061,10534.391304347824,Plant1
316,2018-11-03,1.99,100127,21118.84,272.4584878,10612.482412060303,Plant1
317,2018-11-04,1.01,100127,10747.05,141.1797964,10640.643564356435,Plant1
318,2018-11-05,0.14,100127,1461.38,22.85709673,10438.42857142857,Plant1
319,2018-11-06,0.18,100127,1900.93,28.23317282,10560.722222222223,Plant1
320,2018-11-07,0.26,100127,2703.47,37.05477712,10397.961538461537,Plant1
321,2018-11-08,0.85,100127,9018.49,110.7393141,10609.988235294119,Plant1
322,2018-11-09,0.34,100127,3653.63,47.01587165,10745.970588235294,Plant1
323,2018-11-10,0.19,100127,2013.89,28.79001123,10599.42105263158,Plant1
324,2018-11-11,0.3,100127,3135.89,41.09910688,10452.966666666667,Plant1
325,2018-11-12,0.41,100127,4330.42,54.19547786,10562.0,Plant1
326,2018-11-13,0.28,100127,2970.82,41.16702884,10610.071428571428,Plant1
327,2018-11-14,0.48,100127,5123.25,63.46251613,10673.4375,Plant1
328,2018-11-15,0.61,100127,6487.36,85.52698973,10635.016393442622,Plant1
329,2018-11-16,1.36,100127,14411.49,211.420212,10596.68382352941,Plant1
330,2018-11-17,0.89,100127,9464.42,129.2972168,10634.179775280898,Plant1
331,2018-11-18,0.35,100127,3695.72,51.83467613,10559.2,Plant1
